Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Myc Targets V1	34/200	0.00485101725379168	0.242550862689584	0	0	1.70721357850071	9.09700168534926	RPL34;RPLP0;PHB2;RPL6;EXOSC7;EEF1B2;FBL;MYC;C1QBP;RACK1;RPS3;RPL14;RPS2;MRPL9;RPL18;HNRNPA1;RPS10;NPM1;PABPC4;RPS5;CNBP;RPL22;RPS6;MRPS18B;UBE2E1;NAP1L1;RSL1D1;CLNS1A;APEX1;IMPDH2;HNRNPD;PABPC1;EIF3D;MAD2L1
Wnt-beta Catenin Signaling	9/42	0.0322588276556062	0.806470691390155	0	0	2.26366178090316	7.77333203935724	FRAT1;KAT2A;MYC;LEF1;TCF7;HDAC11;AXIN2;DLL1;TP53
Estrogen Response Early	28/200	0.0896772101815056	0.999556952578715	0	0	1.35260930888575	3.26186957166808	FCMR;SLC22A5;MINDY1;ASB13;CELSR1;ADD3;AQP3;AREG;TOB1;IGF1R;SEC14L2;ABLIM1;MYC;RPS6KA2;NRIP1;LRIG1;SH3BP5;FLNB;BCL11B;SIAH2;FOS;TIAM1;KRT18;UNC119;MAPT;IL6ST;RETREG1;TJP3
p53 Pathway	27/200	0.129604670910359	0.999556952578715	0	0	1.29607979486288	2.64823636750759	APP;BTG2;BTG1;GLS2;PVT1;DGKA;AK1;TOB1;LDHB;HINT1;FAM162A;RPL36;RACK1;RPL18;RPS12;ZBTB16;VWA5A;TPRKB;WWP1;FOS;BAIAP2;DDIT4;NINJ1;CCNG1;TXNIP;TP53;CDK5R1
Apoptosis	22/161	0.145102960181681	0.999556952578715	0	0	1.31382488945552	2.53609157994128	IFITM3;APP;BTG2;CDKN1B;GPX4;SATB1;BIK;LEF1;HSPB1;ENO2;PTK2;CDC25B;SOD1;ISG20;AIFM3;KRT18;CASP6;TXNIP;CD38;TIMP1;CD69;BIRC3
TNF-alpha Signaling via NF-kB	26/200	0.181032308274382	0.999556952578715	0	0	1.2402509407579	2.11968778623737	BTG2;BTG1;IRS2;AREG;SOCS3;SNN;MYC;DENND5A;JUNB;IFNGR2;ZBTB10;FOS;PNRC1;KLF2;NFKBIA;EFNA1;PER1;YRDC;IL23A;GPR183;NINJ1;KLF9;CD69;IL6ST;IL7R;BIRC3
Hypoxia	26/200	0.181032308274382	0.999556952578715	0	0	1.2402509407579	2.11968778623737	BTG1;CDKN1B;CITED2;IRS2;ENO2;ETS1;PLAC8;FAM162A;CASP6;MXI1;GCNT2;SLC37A4;PDK1;TKTL1;MAP3K1;CAVIN1;SIAH2;PRKCA;FOS;PNRC1;ISG20;EFNA1;KLF7;DDIT4;ALDOC;CHST2
Apical Surface	7/44	0.190513647556303	0.999556952578715	0	0	1.5684735014344	2.6005783880131	APP;GSTM3;AKAP7;HSPB1;MAL;LYPD3;DCBLD2
IL-2/STAT5 Signaling	25/199	0.236497650621817	0.999556952578715	0	0	1.19198909934704	1.71863015326719	IFITM3;AHCY;PTGER2;AGER;IGF1R;CD79B;NT5E;MYC;NFKBIZ;LRIG1;SNX9;DENND5A;TNFRSF4;IL4R;GPX4;PRAF2;FLT3LG;CKAP4;TIAM1;SELL;COL6A1;ETFBKMT;CD48;ITGA6;LTB
UV Response Up	19/158	0.341547279123714	0.999556952578715	0	0	1.1330733166276	1.21722572471363	BTG2;BTG1;DGAT1;PLCL1;SIGMAR1;TGFBRAP1;WIZ;FOS;ENO2;AQP3;NFKBIA;PPP1R2;DNAJB1;EIF2S3;POLR2H;NPTXR;IL6ST;CDO1;JUNB
