p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.03815407595653	0.967	0.654	0	c2	LTB
2.34617254089902e-305	0.386395869173809	1	0.992	8.58722611694451e-301	c2	EEF1A1
6.35971116869967e-250	0.667055494352136	0.905	0.672	2.32771788485576e-245	c2	LDHB
3.43380272931229e-215	0.547500640261402	0.959	0.824	1.25680613695559e-210	c2	FXYD5
2.536676983224e-214	1.17964497049122	0.5	0.263	9.28449142629818e-210	c2	AQP3
1.62483365541749e-195	0.326857969449049	0.998	0.975	5.94705366219356e-191	c2	TPT1
5.43539266411827e-172	0.638997808346864	0.809	0.561	1.98940806899393e-167	c2	IL7R
1.04044398678559e-169	1.07491825017131	0.395	0.194	3.80812903603392e-165	c2	MAL
1.41846859486219e-168	0.31583250205998	0.997	0.964	5.19173690405512e-164	c2	RPL32
1.01192742291656e-157	0.323644200764729	0.992	0.939	3.70375556061692e-153	c2	RPS13
2.39843604864659e-154	0.28597204924269	0.997	0.969	8.77851578165137e-150	c2	RPL11
8.88659647268721e-153	0.311346696575227	0.997	0.958	3.25258317496824e-148	c2	RPL18A
3.98871994253144e-151	0.283236021426434	0.999	0.983	1.45991138616593e-146	c2	RPLP1
6.58379530717688e-150	0.297297879500077	0.999	0.978	2.40973492037981e-145	c2	RPL13
1.1322007855313e-142	0.303161729595312	0.994	0.946	4.14396809512311e-138	c2	RPL29
2.27871833662834e-142	0.331195164894821	0.998	0.958	8.3403369838934e-138	c2	RPS18
1.37716189372338e-141	0.274366887640483	0.998	0.972	5.04055024721696e-137	c2	RPS8
1.29529408383909e-140	0.351883349151864	0.984	0.893	4.74090587625947e-136	c2	RPL9
1.79167946980663e-140	0.347088281836411	0.984	0.907	6.55772602743926e-136	c2	RPL36
7.67371436562596e-139	0.302939709316095	0.996	0.954	2.80865619496276e-134	c2	RPL8
4.07724516986188e-138	0.322017540961859	0.988	0.93	1.49231250462115e-133	c2	RPL37
2.50994693313765e-137	0.303660618579381	0.993	0.948	9.18665676997712e-133	c2	RPS28
1.0892257925269e-135	1.091721914521	0.192	0.07	3.98667532322769e-131	c2	TNFRSF4
6.4503730405814e-132	2.51233902969982	0.102	0.024	2.3609010365832e-127	c2	FUT7
4.13218012678984e-131	0.278545032087225	0.995	0.961	1.51241924820635e-126	c2	RPL34
9.75686363000187e-131	0.69606760994236	0.629	0.411	3.57110965721698e-126	c2	NOSIP
2.68457562356574e-129	0.322131945353361	0.988	0.926	9.82581523981296e-125	c2	RPSA
4.62670399828496e-128	0.326083196870004	0.989	0.936	1.69341993041228e-123	c2	RPLP0
1.99682478123444e-127	0.301633035330239	0.992	0.935	7.30857838179619e-123	c2	RPS25
4.75963500433544e-126	0.27222748087774	0.999	0.959	1.74207400793681e-121	c2	RPS3A
6.40864180058572e-125	0.27580521132283	0.994	0.955	2.34562698543238e-120	c2	RPL18
