Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Myc Targets V1	33/200	5.00126208050922e-10	2.50063104025461e-08	0	0	4.01853190171381	86.0615247169671	RPL34;RPLP0;PHB2;RPL6;EEF1B2;FBL;MYC;PCBP1;C1QBP;TRA2B;RACK1;RPS3;RPL14;RPS2;RPL18;HNRNPA1;RPS10;NPM1;PABPC4;RPS5;CNBP;RPL22;RPS6;MRPS18B;UBE2E1;NAP1L1;RSL1D1;CLNS1A;APEX1;IMPDH2;PABPC1;EIF3D;MAD2L1
Allograft Rejection	23/200	9.72551194725811e-05	0.00243137798681453	0	0	2.61300037343549	24.1393493276048	NPM1;RPS9;FYB1;IL4R;TRAT1;IFNGR2;KRT1;IL16;RPS3A;CFP;RPL9;TLR1;CD79A;CCND3;CD4;RPS19;CD7;CD28;TIMP1;APBB1;LTB;RPL39;EIF3D
TNF-alpha Signaling via NF-kB	22/200	0.00025934568872089	0.00432242814534817	0	0	2.48257170549593	20.4994601971355	STAT5A;BTG2;TNFAIP8;BTG1;IFNGR2;IRS2;FOS;AREG;PNRC1;KLF2;SOCS3;SNN;MYC;GPR183;NINJ1;KLF9;DENND5A;CD69;IL6ST;IL7R;JUNB;BIRC3
IL-2/STAT5 Signaling	21/199	0.000617104443482046	0.00549230207882908	0	0	2.36720655032273	17.494774372438	AHCY;IL4R;GPX4;PTGER2;FLT3LG;RHOH;DHRS3;CKAP4;IGF1R;TIAM1;CCND3;SELL;MYC;NFKBIZ;PIM1;SNX9;CD48;DENND5A;ITGA6;LTB;ICOS
Estrogen Response Early	21/200	0.00065907624945949	0.00549230207882908	0	0	2.35385712587662	17.2412297939044	SVIL;FCMR;BCL11B;MINDY1;ASB13;FOS;ADD3;AQP3;AREG;TOB1;DHRS3;IGF1R;TIAM1;ABLIM1;FAM102A;KRT18;MYC;SH3BP5;IL6ST;RETREG1;FKBP5
p53 Pathway	21/200	0.00065907624945949	0.00549230207882908	0	0	2.35385712587662	17.2412297939044	APP;BTG2;BTG1;GLS2;PVT1;DGKA;FOS;TOB1;LDHB;HINT1;CCND3;NINJ1;CCNG1;RPL36;RACK1;TXNIP;COQ8A;RPL18;ISCU;RPS12;CDK5R1
Apoptosis	17/161	0.00194579563244921	0.0138985402317801	0	0	2.36298699387947	14.749964062929	APP;BTG2;CDKN1B;GPX4;SATB1;LEF1;HSPB1;PTK2;CDC25B;SOD1;KRT18;CASP6;DPYD;TXNIP;TIMP1;CD69;BIRC3
Inflammatory Response	18/200	0.00797824307632759	0.0498640192270475	0	0	1.97770734037966	9.55437745052936	IFITM1;BTG2;PTGIR;IL4R;IFNGR2;PTGER2;TLR1;ADGRE1;SELL;MYC;GPR183;CCR7;CD48;TIMP1;CD69;IL7R;CD55;IFNAR1
Reactive Oxygen Species Pathway	6/49	0.0291465477229698	0.145891486168313	0	0	2.77550225252648	9.81256285595333	PRDX2;GPX4;IPCEF1;JUNB;PRDX6;SOD1
Hypoxia	16/200	0.0320961269570289	0.145891486168313	0	0	1.73498964803313	5.96666394612708	TKTL1;BTG1;CDKN1B;MAP3K1;CAVIN1;PRKCA;IRS2;FOS;PNRC1;PLAC8;AKAP12;KLF7;PFKL;CASP6;PIM1;PDK1
Oxidative Phosphorylation	16/200	0.0320961269570289	0.145891486168313	0	0	1.73498964803313	5.96666394612708	ATP5PD;UQCRB;GPX4;TIMM9;COX4I1;NDUFB1;PHB2;COX7C;LDHB;OXA1L;ALDH6A1;ATP5F1A;ATP5PO;COX11;ISCU;SLC25A6
UV Response Up	13/158	0.0413458747029652	0.172274477929022	0	0	1.7868616324749	5.69255274708306	BTG2;BTG1;PLCL1;FOS;AQP3;SULT1A1;PPP1R2;DNAJB1;CCND3;EIF2S3;CREG1;IL6ST;JUNB
Apical Surface	5/44	0.0586580472527512	0.225607874049043	0	0	2.5480098701856	7.22623371948438	APP;GSTM3;HSPB1;MAL;LYPD3
Androgen Response	8/100	0.10805028550219	0.385893876793536	0	0	1.72881974542634	3.84689804437067	AKAP12;INPP4B;CCND3;TNFAIP8;ACTN1;ARID5B;DNAJB9;FKBP5
IL-6/JAK/STAT3 Signaling	7/87	0.124707042327441	0.415690141091469	0	0	1.73890199161426	3.62002521886531	SOCS3;IL4R;IFNGR2;PIM1;LTB;IL6ST;IFNAR1
Wnt-beta Catenin Signaling	4/42	0.141466106792732	0.442081583727288	0	0	2.08997415168014	4.08735224635076	MYC;LEF1;TCF7;AXIN2
Protein Secretion	7/96	0.178596339937806	0.525283352758254	0	0	1.56231597295833	2.69128783974756	KRT18;DST;BNIP3;SNAP23;ATP1A1;CLN5;SOD1
Angiogenesis	3/36	0.248735651254878	0.620147393383333	0	0	1.80356803947618	2.50942070218415	APP;TIMP1;PTK2
Adipogenesis	12/200	0.25526714587314	0.620147393383333	0	0	1.26791919826021	1.73127348758417	SULT1A1;STAT5A;PFKL;CAVIN1;GPX4;EPHX2;ATP5PO;CHCHD10;DNAJB9;DRAM2;TOB1;SOD1
UV Response Dn	9/144	0.256404742421018	0.620147393383333	0	0	1.32380952380952	1.80170219096719	INPP4B;CDKN1B;MYC;PRKCA;SYNJ2;ADD3;FBLN5;MAP2K5;IGF1R
TGF-beta Signaling	4/54	0.260461905221	0.620147393383333	0	0	1.58737722048067	2.13549645657661	IFNGR2;NOG;JUNB;SPTBN1
Unfolded Protein Response	7/113	0.300414348210746	0.68275988229715	0	0	1.31057909101697	1.57609271204835	EIF4A2;RPS14;NPM1;SERP1;BAG3;DNAJB9;EEF2
Interferon Alpha Response	6/97	0.323093237343642	0.702376602920961	0	0	1.30818710085726	1.4780085419057	LGALS3BP;IFITM1;IL4R;SELL;LPAR6;TXNIP
Myogenesis	11/200	0.366777477118703	0.764119743997297	0	0	1.15483152325258	1.15829595337857	EIF4A2;APP;SVIL;VIPR1;PTP4A3;ABLIM1;PKIA;FXYD1;FHL1;SORBS3;SH2B1
Pperoxisome	6/104	0.383474844282035	0.766949688564071	0	0	1.21429639918795	1.16388033714414	EPHX2;CNBP;PABPC1;HSD17B11;DHRS3;SOD1
Notch Signaling	2/32	0.459179869414956	0.797968861053111	0	0	1.32144595064303	1.02849892336014	MAML2;PRKCA
Cholesterol Homeostasis	4/74	0.47846565103786	0.797968861053111	0	0	1.13264666368115	0.834954109853226	GSTM2;ACSS2;PNRC1;LGMN
Estrogen Response Late	10/200	0.494740693852929	0.797968861053111	0	0	1.04316785654989	0.73409965342956	TIAM1;FAM102A;LSR;FOS;IL6ST;ADD3;AREG;TOB1;MEST;FKBP5
Interferon Gamma Response	10/200	0.494740693852929	0.797968861053111	0	0	1.04316785654989	0.73409965342956	LGALS3BP;SOCS3;BTG1;IL4R;MX2;PELI1;PIM1;TXNIP;ARID5B;CD69
E2F Targets	10/200	0.494740693852929	0.797968861053111	0	0	1.04316785654989	0.73409965342956	CDKN1B;MYC;TRA2B;TACC3;HMGA1;PSIP1;NAP1L1;PAICS;MAD2L1;CDC25B
heme Metabolism	10/200	0.494740693852929	0.797968861053111	0	0	1.04316785654989	0.73409965342956	FN3K;HEBP1;PRDX2;ALDH6A1;BTG2;CCND3;MKRN1;ACSL6;AQP3;TRAK2
PI3K/AKT/mTOR  Signaling	5/105	0.57236262290921	0.842640661309768	0	0	0.990533472803347	0.552700375515074	TIAM1;CDKN1B;CAMK4;THEM4;PDK1
DNA Repair	7/150	0.585675067814838	0.842640661309768	0	0	0.969579686560819	0.518715567383255	GPX4;PRIM1;TAF10;IMPDH2;POLL;NME4;APRT
Mitotic Spindle	9/199	0.621420258421343	0.842640661309768	0	0	0.937864882795223	0.446187043359905	UXT;NET1;TIAM1;DST;ARFIP2;ARHGAP5;SEPTIN9;SPTBN1;RAB3GAP1
