Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome	87/158	7.04581806451698e-56	2.10669960129058e-53	0	0	15.9937956349998	2031.08938841349	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPS10-NUDT3;RPL12;RPL11;RPL36A;MRPL14;RPS4Y1;MRPL10;MRPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;MRPL23;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RSL24D1;RPS24;RPS23
Coronavirus disease	92/232	2.01888541784794e-43	3.01823369968267e-41	0	0	8.57555081734186	843.050510105223	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;PRKCB;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;FOS;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPS10-NUDT3;RPL12;RPL11;RPL36A;PIK3R2;PIK3R1;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;MAPK3;RPL41;ACE;RPL35A;RPL23A;MAPK13;NFKBIA;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RSL24D1;RPS24;RPS23;NFKBIB
T cell receptor signaling pathway	16/104	0.00453332407263819	0.451821299239606	0	0	2.25746337277018	12.1819491869684	VAV3;PIK3R2;PIK3R1;FOS;CD3E;MAPK13;NFKBIA;ZAP70;CD8B;CD28;NCK2;MAP3K8;FYN;CARD11;NFKBIB;MAPK3
Colorectal cancer	13/86	0.0114604745516472	0.750475786300131	0	0	2.20841092203027	9.86905970881569	SMAD3;TGFB1;GADD45A;TCF7;AXIN1;TGFA;PIK3R2;FOS;PIK3R1;AREG;MYC;PMAIP1;MAPK3
Hepatocellular carcinoma	21/168	0.0143779218024722	0.750475786300131	0	0	1.77401894451962	7.525497388762	GSTM3;FZD3;GSTM1;SMAD3;TGFB1;SMARCD3;PHF10;PRKCB;GADD45A;TXNRD2;TCF7;AXIN1;TGFA;WNT7A;PIK3R2;PIK3R1;SMARCA4;MYC;WNT1;BRD7;MAPK3
PD-L1 expression and PD-1 checkpoint pathway in cancer	13/89	0.0150597147752535	0.750475786300131	0	0	2.12089147835942	8.89869223583018	MAP2K3;MAP3K3;PIK3R2;FOS;PIK3R1;CD3E;MAPK13;NFKBIA;ZAP70;CD28;MAP2K6;MAPK3;NFKBIB
Th17 cell differentiation	14/107	0.0287851062878597	0.999995136103023	0	0	1.86605843380037	6.62058343332563	STAT5B;SMAD3;TGFB1;IL23R;RORC;FOS;CD3E;MAPK13;NFKBIA;RXRB;ZAP70;IL23A;NFKBIB;MAPK3
Growth hormone synthesis, secretion and action	15/119	0.0325380318301357	0.999995136103023	0	0	1.78801446195314	6.12456758379582	MAP2K3;STAT5B;PRKCB;IGFBP3;IRS2;PIK3R2;PIK3R1;FOS;MAPK13;SOCS3;ADCY9;PLCB1;JUNB;MAP2K6;MAPK3
TNF signaling pathway	14/112	0.0403661559202602	0.999995136103023	0	0	1.77037037037037	5.68247031995407	MAP2K3;IL15;TNFAIP3;PIK3R2;PIK3R1;FOS;MAPK13;NFKBIA;SOCS3;MAP3K8;JUNB;IL18R1;MAP2K6;MAPK3
Cellular senescence	18/156	0.044486871341061	0.999995136103023	0	0	1.61726800340545	5.03384557171151	MAP2K3;SMAD3;TGFB1;GADD45A;IGFBP3;RRAS2;PIK3R2;PIK3R1;ETS1;ZFP36L2;MAPK13;CCND3;RRAS;MYC;SLC25A4;MAP2K6;SLC25A6;MAPK3
