Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Antigen processing and presentation	21/78	3.09247228802036e-14	7.82395488869152e-12	11.4507161623866	356.199951832901	CD74;HSP90AA1;KLRC4;KLRD1;CALR;B2M;HLA-DQA2;HLA-DRB5;HLA-C;KIR3DL1;RFXANK;HLA-A;HLA-B;HLA-E;CD8B;CD8A;PSME2;HLA-DPB1;PSME1;HLA-DRB1;HLA-DPA1	1	KEGG_2021_Human
Graft-versus-host disease	13/42	3.69044490102644e-10	3.96022775699802e-08	13.7753960857409	299.20303438056	HLA-DRB5;GZMB;HLA-C;KIR3DL1;HLA-A;HLA-B;HLA-E;HLA-DPB1;KLRD1;HLA-DRB1;PRF1;HLA-DPA1;HLA-DQA2	2	KEGG_2021_Human
Viral myocarditis	15/60	4.69592224149963e-10	3.96022775699802e-08	10.2674109516215	220.535325714615	ACTB;HLA-DQA2;HLA-DRB5;HLA-C;HLA-A;HLA-B;HLA-E;HLA-DPB1;HLA-DRB1;PRF1;ITGAL;HLA-DPA1;FYN;RAC2;BID	3	KEGG_2021_Human
Proteasome	13/46	1.30763939730615e-09	8.27081918796137e-08	12.1031459266753	247.570362039106	PSMB9;PSMA4;PSMA5;PSMC4;PSMC3;PSME2;PSME1;PSMD11;PSMD13;POMP;PSMB10;PSMD4;PSMF1	4	KEGG_2021_Human
Allograft rejection	11/38	1.87143646087004e-08	9.46946849200242e-07	12.4811293068028	222.088895955918	HLA-DRB5;GZMB;HLA-C;HLA-A;HLA-B;HLA-E;HLA-DPB1;HLA-DRB1;PRF1;HLA-DPA1;HLA-DQA2	5	KEGG_2021_Human
Epstein-Barr virus infection	24/202	3.64869411084252e-08	1.43386223074372e-06	4.18457510635977	71.6663364244782	RUNX3;PSMC4;PSMC3;PSMD4;B2M;HLA-DRB5;GADD45B;HLA-C;HLA-A;HLA-B;HLA-E;HLA-DRB1;CALR;CD3E;CD3D;HLA-DQA2;HLA-DPB1;HLA-DPA1;BID;IRF3;PSMD11;PSMD13;TNFAIP3;ITGAL	6	KEGG_2021_Human
Natural killer cell mediated cytotoxicity	19/131	3.96720775304586e-08	1.43386223074372e-06	5.24068447603761	89.3149848072072	KLRD1;HLA-C;HLA-A;HLA-B;HLA-E;PRF1;ICAM2;KLRK1;NCR3;NCR1;HCST;CD244;FCGR3A;GZMB;KIR3DL1;ITGAL;FYN;RAC2;BID	7	KEGG_2021_Human
Spliceosome	20/150	7.39023814396616e-08	2.17298165921889e-06	4.75587435072966	78.0939336238987	CWC15;SNRPA;SRSF3;SNRNP27;PPIH;PPIE;SRSF9;SNRPC;SF3B4;MAGOH;SNRPD2;SNRPD1;LSM7;RBM17;RBM22;CTNNBL1;PRPF31;RP9;ISY1;PUF60	8	KEGG_2021_Human
Type I diabetes mellitus	11/43	7.72997428180632e-08	2.17298165921889e-06	10.5282290015848	172.405805826932	HLA-DRB5;GZMB;HLA-C;HLA-A;HLA-B;HLA-E;HLA-DPB1;HLA-DRB1;PRF1;HLA-DPA1;HLA-DQA2	9	KEGG_2021_Human
Ribosome	20/158	1.76352454523196e-07	4.46171709943686e-06	4.47830747005918	69.6411798903581	RPL21;MRPS18A;RPL26;RPS4Y1;RPL36AL;RPL27A;RPL3;MRPL14;MRPL11;MRPL20;MRPL9;RPS19;RPS10;MRPL28;MRPS2;MRPL24;MRPS12;MRPL34;RPS15A;RPL23A	10	KEGG_2021_Human
Parkinson disease	25/249	5.07735447512976e-07	1.16779152927984e-05	3.46108763602686	50.1625997707875	PSMC4;PSMC3;UQCRC2;UQCRC1;CALM1;PSMD4;PSMA4;PSMA5;GNAI2;SDHB;NDUFV1;TXN2;UBC;UBB;NDUFS8;NDUFS6;NDUFS3;NDUFS2;PSMD11;PSMD13;UBA7;COX4I1;NDUFA9;NDUFA7;VDAC3	11	KEGG_2021_Human
Autoimmune thyroid disease	11/53	7.65186789885071e-07	1.61326881534103e-05	8.01735718059014	112.909610611144	HLA-DQA2;HLA-DRB5;GZMB;HLA-C;HLA-A;HLA-B;HLA-E;HLA-DPB1;HLA-DRB1;PRF1;HLA-DPA1	12	KEGG_2021_Human
Prion disease	24/273	8.72911446347042e-06	0.000169881996866001	2.98030958786603	34.7171692968429	BAD;PSMC4;PSMC3;UQCRC2;UQCRC1;PSMD4;PSMA4;PSMA5;RAC2;SDHB;NDUFV1;CYBA;NDUFS8;NDUFS6;NDUFS3;NDUFS2;PSMD11;PSMD13;COX4I1;NDUFA9;NDUFA7;VDAC3;CCL5;FYN	13	KEGG_2021_Human
Amyotrophic lateral sclerosis	28/364	1.98212438756642e-05	0.000339507623032711	2.58170466883822	27.9566506262204	BAD;CCS;PSMC4;PSMC3;UQCRC2;UQCRC1;PFN1;ACTB;PSMD4;ATG2A;SEC13;PSMA4;PSMA5;RAB8A;BID;SDHB;SRSF3;NDUFV1;WIPI2;NDUFS8;NDUFS6;NDUFS3;NDUFS2;PSMD11;PSMD13;COX4I1;NDUFA9;NDUFA7	14	KEGG_2021_Human
Huntington disease	25/306	2.01289104564849e-05	0.000339507623032711	2.75079739527158	29.7453444910374	PSMC4;PSMC3;UQCRC2;UQCRC1;PSMD4;ATG2A;CLTB;PSMA4;PSMA5;SDHB;NDUFV1;AP2M1;WIPI2;NDUFS8;NDUFS6;NDUFS3;NDUFS2;PSMD11;PSMD13;COX4I1;NDUFA9;NDUFA7;VDAC3;POLR2C;POLR2E	15	KEGG_2021_Human
Cell adhesion molecules	16/148	2.27165506900409e-05	0.000359205457786272	3.72272243198761	39.8048998506521	HLA-DRB5;HLA-C;HLA-A;HLA-B;HLA-E;CD8B;CD8A;HLA-DRB1;ICAM2;CD99;HLA-DQA2;HLA-DPB1;ITGAL;VSIR;HLA-DPA1;TIGIT	16	KEGG_2021_Human
Human immunodeficiency virus 1 infection	19/212	5.69871978225054e-05	0.000848103591123168	3.02842671678906	29.5958570628031	BAD;CALM1;RNF7;B2M;HLA-C;HLA-A;HLA-B;HLA-E;CALR;CD3E;CD3D;GNAI2;RAC2;BID;CFL1;GNB2;PXN;IRF3;RPS6KB2	17	KEGG_2021_Human
Endocytosis	21/252	6.85447549992881e-05	0.000963434611934438	2.80002927829015	26.8467469924237	VPS25;ARPC5L;HLA-C;HLA-A;SNF8;HLA-B;HLA-E;VPS26B;ARF3;ARPC1B;CLTB;RAB11B;ARF6;RAB8A;ARPC3;ARPC2;CHMP2A;WASHC1;RAB4A;WASHC3;AP2M1	18	KEGG_2021_Human
Phagosome	15/152	0.000116019868847348	0.00154489614833574	3.35644186777495	30.415234069002	ACTB;HLA-DRB5;HLA-C;HLA-A;CYBA;HLA-B;HLA-E;HLA-DRB1;ATP6V1D;CORO1A;CALR;FCGR3A;HLA-DQA2;HLA-DPB1;HLA-DPA1	19	KEGG_2021_Human
Shigellosis	20/246	0.000141759872868318	0.00179326239178423	2.72202145519734	24.1208555072406	ATG12;RBCK1;PFN1;ARPC5L;MYL12B;ACTB;CAPNS1;MYL12A;ARPC1B;ARF6;ARPC3;ARPC2;PXN;UBC;UBB;WIPI2;IRF3;ILK;RPS6KB2;CCL5	20	KEGG_2021_Human
Pathways of neurodegeneration	30/475	0.000357852791431679	0.00419821835321098	2.08338841154439	16.5324971779523	BAD;CCS;PSMC4;PSMC3;UQCRC2;UQCRC1;PSMD4;ATG2A;PSMA4;PSMA5;BID;WIPI2;COX4I1;NDUFA9;NDUFA7;HSD17B10;CALM1;RAB8A;SDHB;NDUFV1;UBC;UBB;NDUFS8;NDUFS6;NDUFS3;NDUFS2;PSMD11;PSMD13;UBA7;VDAC3	21	KEGG_2021_Human
Human cytomegalovirus infection	18/225	0.000365062465496607	0.00419821835321098	2.66875696767001	21.1243912049963	CALM1;B2M;HLA-C;HLA-A;HLA-B;HLA-E;CALR;GNAI2;RAC2;BID;GNB2;PXN;CCL4L2;IRF3;RPS6KB2;CCL5;CCL4;CCL3	22	KEGG_2021_Human
Alzheimer disease	25/369	0.000392087379427581	0.00431296117370339	2.23959707511967	17.5674573201648	BAD;PSMC4;PSMC3;UQCRC2;UQCRC1;CALM1;PSMD4;ATG2A;PSMA4;PSMA5;BID;SDHB;NDUFV1;WIPI2;NDUFS8;NDUFS6;NDUFS3;NDUFS2;PSMD11;PSMD13;COX4I1;NDUFA9;NDUFA7;VDAC3;HSD17B10	23	KEGG_2021_Human
