# factor-levels: seurat_clusters=c1|c2|c3|c4|c5|c6|c7|c8|c9|c10|c11|c12|c13

p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
9.16707425928988e-21	3.34532332774938	0.01	0.001	3.35524084964269e-16	RAMP3	c12
5.45562962814853e-37	2.87565945204539	0.017	0.001	1.99681500019864e-32	DACT1	c12
9.35671880663382e-16	2.83356806247865	0.01	0.001	3.42465265041605e-11	PRG4	c12
7.10529562671656e-20	2.51064886760717	0.01	0.001	2.60060925233453e-15	EFNA1	c12
1.67433091994944e-33	2.42290148981856	0.014	0.001	6.12821860010696e-29	SDK2	c12
4.62369620604569e-19	2.41685530927049	0.01	0.001	1.69231904837478e-14	SORCS3	c12
6.57937688063416e-18	2.33423203912704	0.012	0.001	2.40811773208091e-13	VSIG2	c12
1.09262843732424e-25	2.29604009234906	0.013	0.001	3.99912934345046e-21	MIR663AHG	c12
3.04408819407378e-20	2.18774169248506	0.011	0.001	1.11416671991294e-15	ZFHX2-AS1	c12
2.63995300914017e-18	2.18285126414195	0.01	0.001	9.66249200875393e-14	RNF157-AS1	c12
1.56430335452156e-19	2.09546378909889	0.011	0.001	5.72550670788435e-15	HEXD-IT1	c12
1.92333763268013e-27	2.05657951016905	0.013	0.001	7.03960806937253e-23	ADD3-AS1	c12
6.61760986166972e-18	2.04854157075845	0.012	0.001	2.42211138546974e-13	LRP6	c12
8.2132353568431e-22	2.00585933770849	0.011	0.001	3.00612627295814e-17	AC021752.1	c12
4.20221283081589e-38	2.00530096359772	0.019	0.001	1.53805191820692e-33	METTL27	c12
7.74706224737014e-20	1.94721025506668	0.017	0.002	2.83550225315994e-15	MAP7	c12
1.48806709202345e-16	1.93893967781258	0.011	0.001	5.44647436351501e-12	AC104109.2	c12
7.73194290926784e-12	1.93522905565726	0.01	0.001	2.82996842422112e-07	IDH1-AS1	c12
6.05490468186864e-22	1.92206388101872	0.015	0.001	2.21615566261074e-17	AC093535.1	c12
2.96716652133868e-39	1.90767306768076	0.032	0.003	1.08601261847517e-34	ISM1	c12
7.61963564213221e-15	1.89647836372977	0.013	0.002	2.78886284137681e-10	CCR9	c12
3.62565810484181e-19	1.87342870328092	0.016	0.002	1.32702712295315e-14	AC010247.2	c12
6.10214761957325e-17	1.87107825753279	0.01	0.001	2.23344705024001e-12	BEX1	c12
8.3372503436143e-32	1.84475597024615	0.023	0.002	3.05151699826627e-27	LMNTD2	c12
2.9260181411412e-27	1.82119900528948	0.017	0.001	1.07095189983909e-22	ESAM	c12
3.94877996022737e-80	1.78469618496222	0.063	0.006	1.44529295324282e-75	FAM153A	c12
3.24181407107114e-14	1.78195443498565	0.01	0.001	1.18653636815275e-09	UMODL1	c12
4.38714343885862e-44	1.78071216713318	0.035	0.004	1.60573837005664e-39	FIRRE	c12
9.72222636355081e-46	1.77615092751607	0.038	0.004	3.55843207132323e-41	PODXL2	c12
2.30187460545883e-31	1.76778746743423	0.022	0.002	8.42509124343987e-27	CNN3	c12
2.93787189237741e-67	1.74466642552303	0.053	0.005	1.07529049132906e-62	MICU3	c12
1.40132663679634e-15	1.74289273787259	0.011	0.001	5.12899562333828e-11	ZMYND12	c12
2.13243545819894e-15	1.74274304328337	0.015	0.002	7.80492702055396e-11	DTX1	c12
4.76014734033152e-16	1.73325107156506	0.011	0.001	1.74226152803474e-11	ARHGEF10	c12
1.48648571080755e-16	1.73323451108933	0.011	0.001	5.44068635012672e-12	PAGE5	c12
5.91070373595014e-26	1.71790148916159	0.016	0.001	2.16337667439511e-21	GNG8	c12
5.694980206012e-119	1.71319104157213	0.111	0.013	2.08441970520245e-114	LRRN3	c12
3.45545803681674e-11	1.71271338629465	0.01	0.001	1.26473219605529e-06	PARVA	c12
3.25515653856258e-28	1.68365680796	0.02	0.002	1.19141984467929e-23	RCN3	c12
1.56285821147396e-25	1.66461849470063	0.019	0.002	5.72021733981583e-21	AC009812.1	c12
1.06471914638037e-14	1.6645642091968	0.01	0.001	3.89697854766681e-10	AC009509.1	c12
3.44608038672005e-23	1.66075381198367	0.019	0.002	1.2612998823434e-18	MT3	c12
1.25766097867355e-33	1.65907443211522	0.026	0.003	4.60316494804305e-29	AMY2B	c12
1.62440894007656e-35	1.65721585407323	0.024	0.002	5.94549916157423e-31	GPC2	c12
6.71316604216422e-12	1.61551799265926	0.013	0.002	2.45708590309253e-07	TSPAN6	c12
7.34082567558229e-23	1.61287307352974	0.021	0.003	2.68681560551987e-18	SLC5A2	c12
6.49673649292558e-45	1.59801789466891	0.039	0.004	2.37787052377569e-40	GTSCR1	c12
2.83347887836409e-43	1.59780996767155	0.035	0.004	1.03708160427004e-38	GNG7	c12
1.11641469300003e-17	1.59592259963201	0.017	0.002	4.08618941784941e-13	EGLN3	c12
5.59512588217327e-20	1.58236567402515	0.019	0.002	2.04787202413424e-15	SYDE2	c12
2.7146421484813e-14	1.57841514491683	0.011	0.001	9.93586172765642e-10	TNNC1	c12
1.70071755340898e-20	1.57116497035845	0.017	0.002	6.22479631723223e-16	C14orf132	c12
6.72038179796013e-13	1.56699324247864	0.014	0.002	2.45972694187139e-08	LINC01725	c12
5.25211993836035e-44	1.56221005636899	0.043	0.005	1.92232841863927e-39	AC110611.2	c12
0	1.55649393259398	0.435	0.058	0	TSHZ2	c12
1.48285204223509e-20	1.55204010743138	0.015	0.001	5.42738675978466e-16	LINC00659	c12
3.95669738257961e-10	1.5500963387956	0.013	0.002	1.44819080899796e-05	FAM174B	c12
2.38041553369274e-12	1.54991756534224	0.013	0.002	8.71255889486879e-08	ZNF516	c12
6.05490469417485e-22	1.54851814592158	0.015	0.001	2.21615566711494e-17	ZNF460-AS1	c12
2.34374095244735e-23	1.52714419681476	0.018	0.002	8.57832626005256e-19	AC011416.3	c12
1.06758244802884e-14	1.51626999776064	0.011	0.001	3.90745851803036e-10	LCN10	c12
5.64787119019198e-28	1.51368370679684	0.028	0.004	2.06717733432217e-23	RAB25	c12
7.64194882465228e-45	1.49438292513022	0.04	0.005	2.79702968931098e-40	CELA1	c12
1.64229265011671e-25	1.49271361582613	0.018	0.002	6.01095532869217e-21	MUC20	c12
2.20412639461672e-187	1.48951926167462	0.185	0.023	8.06732301693665e-183	CMTM8	c12
3.92956251283229e-33	1.48296019253827	0.037	0.005	1.43825917532175e-28	TMEM45B	c12
6.47592829189853e-47	1.48156889665446	0.048	0.006	2.37025451411778e-42	AC136475.5	c12
0	1.47858491979946	0.397	0.054	0	BEX3	c12
1.42593754140382e-17	1.4766852370066	0.014	0.002	5.21907399529211e-13	LAMTOR5-AS1	c12
4.76349192787903e-160	1.47562305371773	0.145	0.016	1.743485680523e-155	C16orf74	c12
1.36662823760025e-174	1.47299754399185	0.202	0.029	5.00199601244068e-170	TTC39C-AS1	c12
1.66258755164157e-96	1.46731166508572	0.09	0.011	6.08523669776331e-92	ABO	c12
4.11064725343808e-41	1.45613507981703	0.048	0.007	1.50453800123087e-36	SUSD4	c12
1.14462116337324e-12	1.45484478774319	0.014	0.002	4.18942792006238e-08	PCBP3	c12
1.24509375197e-12	1.4487082485947	0.012	0.002	4.55716764158538e-08	AC115618.1	c12
2.73978962148169e-14	1.44549155106279	0.011	0.001	1.00279039935851e-09	AC023449.2	c12
1.25593160937429e-12	1.44373413219016	0.012	0.002	4.59683528347082e-08	AC008914.1	c12
2.26190910562648e-231	1.43955595039002	0.315	0.051	8.27881351750349e-227	SLC40A1	c12
2.26489193962349e-16	1.43728871677996	0.017	0.002	8.28973098821595e-12	CITED4	c12
9.73649970379028e-09	1.43652622065928	0.011	0.002	0.000356365625658428	HIST1H4A	c12
2.30960462434622e-13	1.43346858501531	0.014	0.002	8.45338388556962e-09	ANK1	c12
6.53032850492555e-11	1.42758644856246	0.014	0.002	2.3901655360878e-06	TSKS	c12
1.2146556895892e-28	1.42253842807531	0.032	0.005	4.44576128946544e-24	KDF1	c12
3.77922334036244e-29	1.42039846864938	0.035	0.005	1.38323353480606e-24	GREM2	c12
3.233992812512e-14	1.41278716268814	0.013	0.002	1.18367370930752e-09	AL442663.3	c12
8.30186700199914e-76	1.40966604288522	0.074	0.009	3.0385663414017e-71	TTC9	c12
2.92799116485699e-30	1.40330363685459	0.03	0.004	1.07167404624931e-25	PDE9A	c12
0	1.40194769564456	0.863	0.197	0	MAL	c12
9.54444620852371e-123	1.39703300522492	0.171	0.028	3.49336275678176e-118	NEFL	c12
3.45545803681674e-11	1.39514302040626	0.01	0.001	1.26473219605529e-06	AC139768.1	c12
8.23107106685541e-23	1.3935075455987	0.016	0.002	3.01265432117975e-18	AC011481.2	c12
4.6914160658637e-43	1.3925237414989	0.036	0.004	1.71710519426677e-38	IGF1R	c12
3.46235315761457e-11	1.39104625155547	0.01	0.001	1.26725587921851e-06	AC026748.3	c12
2.24793652843517e-27	1.38587663084193	0.03	0.004	8.22767248772557e-23	FAM184A	c12
1.35940339251948e-89	1.3730879515403	0.089	0.011	4.97555235696056e-85	TSPAN18	c12
4.66488502211484e-73	1.36490671129705	0.065	0.007	1.70739456694425e-68	SLC22A17	c12
2.37308966487876e-12	1.35194098618765	0.013	0.002	8.68574548242277e-08	AL162457.1	c12
0	1.34666541779394	0.462	0.068	0	ARMH1	c12
9.13267902975275e-19	1.34581930278662	0.014	0.001	3.3426518516798e-14	RCAN3AS	c12
1.12288118661601e-60	1.34004701514888	0.062	0.008	4.10985743113326e-56	SULT1B1	c12
9.01048211774192e-27	1.33822020426963	0.024	0.003	3.29792655991472e-22	LINC00899	c12
6.76983599792054e-124	1.33624071640096	0.137	0.019	2.4778276735989e-119	HRH2	c12
4.31430453022775e-106	1.33232040037063	0.127	0.019	1.57907860110866e-101	AK5	c12
7.90358417418315e-12	1.33177793439849	0.012	0.002	2.89279084359277e-07	AC016405.3	c12
0	1.32366045909586	0.536	0.092	0	TRABD2A	c12
3.60879392845774e-261	1.31880124192962	0.312	0.045	1.32085466575482e-256	FHIT	c12
1.86217754094391e-52	1.31820726930245	0.05	0.006	6.81575601760881e-48	SATB1-AS1	c12
6.7017481034904e-12	1.31494118859921	0.011	0.001	2.45290682335852e-07	SCARF2	c12
2.08541795706269e-70	1.3109287683545	0.064	0.007	7.63283826464517e-66	AC087741.1	c12
2.19070171831419e-15	1.30370993637582	0.015	0.002	8.01818735920177e-11	FGF14-AS2	c12
1.42331056384077e-10	1.30362368652519	0.011	0.002	5.20945899471362e-06	AC007390.2	c12
1.18887390610975e-18	1.29983266131717	0.02	0.003	4.35139738375228e-14	EFHD1	c12
3.19243526388981e-28	1.29613203499378	0.021	0.002	1.16846323093631e-23	CAHM	c12
1.14486921827551e-36	1.29459312355837	0.032	0.004	4.19033582581018e-32	HYKK	c12
3.68521152169473e-16	1.28961494256928	0.014	0.002	1.34882426905549e-11	HULC	c12
1.08099481234216e-285	1.28618705660994	0.403	0.066	3.95654911265354e-281	EPHX2	c12
2.01155282152375e-25	1.28456809412092	0.026	0.003	7.36248448205909e-21	AL158055.1	c12
1.75198930661291e-294	1.28425006078978	0.548	0.111	6.41245606113391e-290	PASK	c12
9.45305373078644e-29	1.28383915582013	0.024	0.003	3.45991219600515e-24	HTR6	c12
2.85172136033834e-119	1.28357540532483	0.167	0.028	1.04375853509744e-114	PI16	c12
6.62137871648976e-25	1.27509802726255	0.028	0.004	2.42349082402242e-20	LINC00173	c12
2.44689986968673e-58	1.27074860923561	0.056	0.007	8.95589821304039e-54	ZNF667-AS1	c12
4.03443409270004e-85	1.26529775058013	0.084	0.01	1.47664322226914e-80	LEF1-AS1	c12
1.35533884742717e-36	1.26420588512419	0.038	0.005	4.96067571546819e-32	ZNF467	c12
2.41124633145417e-11	1.26308656289883	0.012	0.002	8.8254026977554e-07	KCNMB4	c12
1.61190302047226e-28	1.2616305975629	0.023	0.003	5.89972624523053e-24	BX537318.1	c12
4.67740135293537e-10	1.25949450745099	0.01	0.001	1.71197566918788e-05	CNTNAP1	c12
4.02273344078571e-17	1.25815596198436	0.022	0.004	1.47236066666198e-12	LINC02754	c12
1.61634154585306e-14	1.25790940656827	0.013	0.002	5.91597169197677e-10	SLC5A5	c12
3.95717279251781e-16	1.25619890093452	0.02	0.003	1.44836481378944e-11	PLLP	c12
2.2916620875728e-32	1.25419166231097	0.026	0.003	8.3877124067252e-28	NMNAT3	c12
3.38505706454421e-42	1.25306020327724	0.043	0.006	1.23896473619383e-37	MMP28	c12
5.50601836301025e-88	1.25282497692745	0.114	0.018	2.01525778104538e-83	VIPR1	c12
7.84225717340162e-12	1.24995438100487	0.012	0.002	2.87034454803673e-07	AC006008.1	c12
1.3964374890237e-48	1.24806452326307	0.063	0.01	5.11110085357566e-44	ST6GALNAC1	c12
7.03676375614596e-152	1.24635493938892	0.173	0.024	2.57552590238698e-147	CFP	c12
1.09154738960484e-29	1.2459270167632	0.034	0.005	3.99517260069266e-25	SNPH	c12
4.06488794842965e-12	1.2426737598592	0.013	0.002	1.48778963800474e-07	IL6R-AS1	c12
3.74019423698913e-93	1.24232312829104	0.11	0.016	1.36894849268039e-88	EDA	c12
7.8980042339969e-56	1.24208874169537	0.062	0.009	2.89074852968521e-51	LYPD3	c12
6.91074386480929e-62	1.23827831578636	0.063	0.008	2.52940136195885e-57	NOG	c12
9.98777190002886e-18	1.23650876866798	0.02	0.003	3.65562439312956e-13	PTGIR	c12
8.6608652704451e-130	1.23515727530721	0.159	0.024	3.16996329763561e-125	LIMS2	c12
8.33991272931503e-10	1.23424948220972	0.01	0.001	3.05249145805659e-05	ZNF835	c12
4.11303817989361e-22	1.23243816308918	0.023	0.003	1.50541310422286e-17	PRRT1	c12
3.32318237492533e-13	1.22832851223646	0.012	0.001	1.21631798104642e-08	AC142472.1	c12
8.58427108880579e-22	1.22663206250307	0.019	0.002	3.14192906121381e-17	CTRL	c12
1.06915935935543e-14	1.22607199734473	0.01	0.001	3.91323017117681e-10	AL645933.2	c12
3.62547695082771e-23	1.21821724583358	0.026	0.004	1.32696081877245e-18	GPR160	c12
3.7085935513362e-17	1.21698776834975	0.015	0.002	1.35738232572456e-12	ETFBKMT	c12
1.20826860960957e-15	1.21384234399446	0.012	0.001	4.42238393803199e-11	AC124016.2	c12
2.18088700869624e-155	1.21118136566913	0.201	0.031	7.9822645405291e-151	MDS2	c12
1.32771495893788e-14	1.21008739649937	0.015	0.002	4.85956952120852e-10	AC008393.1	c12
7.46919150885296e-09	1.20903908027485	0.012	0.002	0.000273379878415527	EDAR	c12
4.08079202273347e-15	1.2056256120091	0.015	0.002	1.49361068824068e-10	AC092142.1	c12
1.10863621490506e-41	1.20553820326251	0.043	0.006	4.05771941017402e-37	ZFYVE9	c12
9.62888021164815e-13	1.20491862673054	0.017	0.003	3.52426644626534e-08	TRBV23-1	c12
3.61060344824924e-14	1.20086928945396	0.012	0.001	1.3215169680937e-09	S100Z	c12
