# factor-levels: seurat_clusters=c1|c2|c3|c4|c5|c6|c7|c8|c9|c10|c11|c12|c13|c14|c15|c16|c17|c18|c19|c20|c21|c22|c23|c24|c25|c26|c27|c28

p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
7.14661029839435e-213	4.13493866786672	0.036	0.002	2.61573083531532e-208	EDN1	c1
1.25893929321495e-47	3.59585329889103	0.013	0.002	4.60784370709605e-43	CRH	c1
5.62194492885601e-93	3.46834120913153	0.02	0.002	2.05768806341059e-88	AC092691.3	c1
2.23163928147858e-196	3.19346107537276	0.037	0.002	8.16802293413977e-192	FLT1	c1
3.03292047731277e-179	3.17029347609181	0.038	0.003	1.11007922390125e-174	COL1A1	c1
0	3.16129589530197	0.1	0.009	0	S100A16	c1
1.44775473401229e-286	3.10993208206274	0.068	0.006	5.29892710195839e-282	AC022509.2	c1
0	3.07088840999107	0.509	0.087	0	CCL24	c1
0	2.86844198840058	0.511	0.066	0	CSF1	c1
3.33465552881616e-100	2.77610018490592	0.032	0.004	1.220517270102e-95	LINC02244	c1
1.36461780128965e-27	2.76040353092864	0.01	0.001	4.99463761450025e-23	SSMEM1	c1
1.29709848809219e-54	2.74303352147554	0.016	0.002	4.74751017626621e-50	LINC02139	c1
0	2.7239469584617	0.37	0.054	0	DNASE2B	c1
4.28486001317046e-111	2.72089018327817	0.027	0.003	1.56830161342052e-106	FAIM2	c1
1.25245134885597e-101	2.68271936342663	0.027	0.003	4.58409718194773e-97	LINC01010	c1
4.05466364119633e-48	2.67069582798309	0.014	0.002	1.48404743931427e-43	LINC02201	c1
0	2.66454695450564	0.234	0.038	0	AC013457.1	c1
9.25888245459442e-128	2.6624824407967	0.034	0.004	3.3888435672061e-123	AWAT2	c1
0	2.63330754512139	0.553	0.106	0	IL1RN	c1
5.36943542954271e-63	2.57861123814054	0.017	0.002	1.96526706156693e-58	MYOZ1	c1
4.55867391626897e-66	2.5465503495006	0.015	0.001	1.66852024009361e-61	SPRY2	c1
0	2.54184695335972	0.349	0.043	0	EGR2	c1
0	2.46764697545013	0.681	0.116	0	HBEGF	c1
7.33402853135232e-213	2.46503664267454	0.074	0.011	2.68432778276026e-208	PDLIM4	c1
0	2.44823078718831	0.134	0.017	0	RSPO3	c1
0	2.44535201140094	0.213	0.033	0	PVALB	c1
2.77925847200656e-106	2.44387663018477	0.034	0.004	1.01723639333912e-101	BOK	c1
0	2.43452872304697	0.125	0.016	0	AL451123.1	c1
5.24508427597633e-211	2.4324625645034	0.066	0.009	1.9197532958501e-206	AC005280.2	c1
0	2.42951501014971	0.54	0.097	0	LINC02345	c1
0	2.4261509399199	0.431	0.069	0	KPTN	c1
7.95316796983242e-83	2.40912484113977	0.034	0.006	2.91093900863836e-78	SPP1	c1
1.48996528651007e-59	2.40541795740092	0.021	0.003	5.45342194515549e-55	TNNI3	c1
3.58843241676293e-219	2.39939301047573	0.063	0.007	1.3134021488594e-214	PCSK9	c1
0	2.36851436699784	0.482	0.084	0	MIR3945HG	c1
0	2.35151564839507	0.293	0.056	0	LINC02154	c1
1.44106350541512e-71	2.34393348238124	0.022	0.003	5.27443653616986e-67	PLA1A	c1
0	2.33790214494301	0.112	0.015	0	KRT79	c1
8.9912324869016e-161	2.31158274800444	0.046	0.005	3.29088100253086e-156	MYO15A	c1
0	2.29358214908936	0.157	0.023	0	RHOD	c1
0	2.28391060143313	0.637	0.152	0	NMB	c1
3.41601907023854e-56	2.28198846494932	0.019	0.003	1.25029713989801e-51	CEACAM8	c1
0	2.27218674779253	0.277	0.048	0	AC026689.1	c1
