Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	88/158	3.77806271730782e-74	1.0162988709558e-71	27.5468162322666	4657.12220144154	RPL22;RPS8;RPL21;RPS9;RPL24;RPS6;RPL23;RPS7;RPSA;FAU;RPL26;RPL28;RPL22L1;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPS4Y1;RPL36AL;RPL15;RPL14;RPS5;RPL17;RPS2;RPS3;RPL19;RPL18;RPL41;RPS27;RPS26;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;MRPL1;RPL9;MRPL11;RPL7;RPL8;RPS16;MRPL21;RPS15;MRPL3;RPS18;RPS17;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;RPL13A;RPS3A;RPL37A;RPS10-NUDT3;MRPL33;MRPL34;RPL36A;RPS15A;RPS27A;RPL35A;RPL23A;UBA52;RPLP0;RPLP2;RPLP1;RPL10A;RPS4X;RPL18A;RPL7A	1	KEGG_2021_Human
Coronavirus disease	86/232	1.19968604522403e-53	1.61357773082632e-51	12.8258948298719	1562.8987736495	RPL22;RPL21;RPL24;RPL23;RPL26;RPL28;RPL22L1;RPL27;RPL29;RPL11;RPL10;RPL13;RPL12;RPS4Y1;RPL36AL;RPL15;RPL14;RPL17;RPL19;RPL18;RPL41;PRKCB;RPS27;RPS26;RPS29;RPS28;PIK3R1;RPL27A;RPS21;RPS20;RPS23;RPS25;RPS24;RPL5;RPL6;RPL3;RPL31;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL7;RPL8;RPS16;RPS15;RPS18;RPS17;RPS19;RPL37;RPL36;RPL39;RPL38;RPS12;RPS11;RPS14;RPS13;RPS10-NUDT3;RPS15A;RPS27A;RPLP0;RPLP2;RPLP1;RPL18A;JAK1;RPS8;RPS9;RPS6;RPS7;RPSA;FAU;RPS5;RPS2;RPS3;RPL13A;RPS3A;NFKBIA;RPL37A;RPL36A;RPL35A;RPL23A;UBA52;RPL10A;RPS4X;RPL7A	2	KEGG_2021_Human
Spliceosome	23/150	7.05546264175453e-07	6.32639816877323e-05	3.68021008652114	52.1275757753775	CWC15;PHF5A;HNRNPK;SNRNP27;SRSF5;SNRPE;SRSF8;PPIE;SF3B4;SNRPD2;PRPF38A;LSM3;DDX5;ZMAT2;USP39;PQBP1;U2AF1L5;CDC40;PRPF31;ISY1;PUF60;SNRPB2;HNRNPA1	3	KEGG_2021_Human
Primary immunodeficiency	9/38	5.74195833330561e-05	0.00386146697914803	6.24532019704434	60.986333262104	RFXANK;LCK;ZAP70;CD8B;CD8A;IL7R;IL2RG;CD3E;CD3D	4	KEGG_2021_Human
T cell receptor signaling pathway	15/104	0.000120852808285403	0.00642707654419771	3.40255591054313	30.6942432337774	MAP3K8;PIK3R1;CD8B;CD8A;NFKBIA;CD28;CD247;ITK;LAT;CD3G;CD3E;CD3D;LCK;ZAP70;FYN	5	KEGG_2021_Human
Natural killer cell mediated cytotoxicity	17/131	0.000166212033467788	0.00642707654419771	3.01301278810687	26.2199793107075	SH2D1A;HLA-A;PRKCB;HLA-B;HLA-E;PIK3R1;PRF1;KLRK1;NCR3;HCST;CD247;LAT;LCK;ZAP70;CD48;FYN;RAC2	6	KEGG_2021_Human
Th17 cell differentiation	15/107	0.000167247345016297	0.00642707654419771	3.29108209473538	28.6193707885327	IL2RG;SMAD3;IL23R;RORC;GATA3;RORA;NFKBIA;CD247;LAT;CD3G;CD3E;CD3D;LCK;ZAP70;JAK1	7	KEGG_2021_Human
Human immunodeficiency virus 1 infection	23/212	0.000209539787823583	0.00704577536556799	2.46484124142556	20.8786766245115	BAD;CALM1;GNG2;B2M;HLA-A;PRKCB;HLA-B;HLA-E;HLA-F;PIK3R1;SKP1;CD3G;CD3E;CD3D;CXCR4;RAC2;MAP2K3;PXN;CUL5;NFKBIA;BCL2;CD247;RPS6KB2	8	KEGG_2021_Human
PD-L1 expression and PD-1 checkpoint pathway in cancer	13/89	0.000296471198427592	0.00886119470855803	3.44831925722915	28.0126300499977	NFKBIA;CD28;CD247;LAT;CD3G;CD3E;CD3D;MAP2K3;LCK;ZAP70;PIK3R1;RPS6KB2;JAK1	9	KEGG_2021_Human
Measles	17/139	0.000340377079719471	0.00915614344445377	2.81424847350281	22.4730587566411	BAD;IL2RG;CCND3;CCND2;PIK3R1;NFKBIA;BCL2;CD28;TNFAIP3;CD3G;CD3E;CD3D;EIF3H;RAB9A;CDKN1B;RACK1;JAK1	10	KEGG_2021_Human
Th1 and Th2 cell differentiation	13/92	0.00041279142554719	0.0100946266792904	3.31684580099275	25.8467468327082	RUNX3;NFKBIA;CD247;LAT;CD3G;IL2RG;CD3E;CD3D;STAT4;LCK;ZAP70;GATA3;JAK1	11	KEGG_2021_Human
