# factor-levels: seurat_clusters=c1|c2|c3|c4|c5|c6|c7|c8|c9|c10|c11|c12|c13|c14|c15|c16|c17|c18|c19|c20|c21|c22|c23|c24|c25|c26|c27|c28

p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	3.39527575739534	0.591	0.26	0	MTRNR2L8	c19
0	3.37529708953793	0.999	0.992	0	MT-CO3	c19
2.14537997587846e-17	3.36970319437427	0.024	0.007	7.85230524971276e-13	LINC00894	c19
0	3.36473100845077	0.802	0.454	0	MT-ND6	c19
0	3.35277808631465	0.999	0.996	0	MT-CO1	c19
0	3.34413773894361	0.996	0.937	0	MT-ND3	c19
0	3.33809295991422	0.97	0.883	0	MTRNR2L12	c19
0	3.3108435850481	0.996	0.938	0	MT-ND4L	c19
0	3.2558700897426	0.999	0.995	0	MT-CO2	c19
0	3.21553953912475	0.995	0.951	0	MT-ND1	c19
0	3.21373898132897	0.999	0.991	0	MT-CYB	c19
0	3.19321459458863	0.972	0.74	0	MT-ATP8	c19
0	3.18801892436974	0.996	0.972	0	MT-ATP6	c19
1.22540306371323e-30	3.10327523430584	0.084	0.033	4.48509775349679e-26	MTRNR2L1	c19
0	3.05888843090167	0.988	0.904	0	MT-ND2	c19
0	3.01571206524317	0.995	0.926	0	MT-ND4	c19
0	3.00596317523268	0.996	0.903	0	MT-ND5	c19
2.30547960390463e-30	0.736088257742379	0.045	0.155	8.43828589825135e-26	SH3BP2	c19
8.07446789446409e-08	0.725405896740751	0.004	0.024	0.0029553359940528	C5AR2	c19
6.74993930099282e-10	0.723772932152697	0.009	0.039	2.47054528355638e-05	FHAD1	c19
2.34658474058428e-07	0.618790198892766	0.007	0.029	0.00858873480901252	SELENOO	c19
9.94638423337364e-12	0.598086859008477	0.006	0.039	3.64047609325709e-07	SLC46A1	c19
1.15643834735828e-06	0.579395452040965	0.013	0.036	0.0423267999516606	MIR29B2CHG	c19
1.67182859413099e-09	0.569733512033909	0.016	0.049	6.11905983737883e-05	ZMAT1	c19
3.99698440620218e-09	0.5344495262919	0.008	0.035	0.000146293626251406	AK1	c19
8.19468280899791e-09	0.508743219266258	0.009	0.036	0.000299933585492132	TTLL3	c19
4.58225304778731e-12	0.507109090306962	0.012	0.049	1.67715043802063e-07	MED18	c19
7.05754669648195e-09	0.48275417816769	0.005	0.029	0.000258313266637936	FBXL17	c19
